example_input.csv
Day Number,Date,Off-bout Count (DN),Mean Off Duration (DN),Off Dur StDev (DN),Mean Off Temp Drop (DN),Off Drop StDev (DN),Mean Off-Bout Temp (DN),Off-Bout Time Sum (DN),On-bout Count (DN),Mean On Duration (DN),On Dur StDev (DN),Mean On Temp Rise (DN),On Rise StDev (DN),Mean On-Bout Temp (DN),On-Bout Time Sum (DN),Time above 30 (minutes),Time below 26 (minutes),Vertices Dropped (DN),Mean Daytime Egg Temp,Day Egg Temp StDev,Median Daytime Egg Temp,Min Daytime Egg Temp,Max Daytime Egg Temp,Mean Nighttime Egg Temp,Night Egg Temp StDev,Median Nighttime Egg Temp,Min Nighttime Egg Temp,Max Nighttime Egg Temp,Mean Egg Temp (DN),Egg Temp StDev (DN),Median Egg Temp (DN),Min Egg Temp (DN),Max Egg Temp (DN),Mean Air Temp (DN),Air Temp StDev (DN),Min Air Temp (DN),Max Air Temp (DN),
1 (Partial),04/21/2018,25,17.56,13.2,-0.976,0.877,32.235,439.0,26,14.5,11.96,1.368,2.509,32.01,377.0,794.5,18.5,4,32.511,2.275,32.949,18.247,34.783,31.054,0.947,30.672,29.916,32.639,32.101,2.098,32.484,18.247,34.783,25.811,4.266,17.106,30.091,
2 (Full),04/22/2018,45,17.58,14.46,-1.062,1.084,30.84,791.0,44,13.98,9.12,1.09,1.177,31.012,615.0,897.0,0.0,9,31.596,1.602,31.97,27.554,34.255,30.127,1.029,29.765,28.369,32.975,30.923,1.553,30.849,27.554,34.255,19.748,5.036,13.497,27.751,
3 (Full),04/23/2018,49,14.44,12.07,-1.293,1.482,30.767,707.5,50,13.77,7.47,1.237,1.382,31.051,688.5,1255.0,0.0,6,31.123,1.518,31.331,26.231,33.443,30.66,0.358,30.697,29.54,31.484,30.911,1.166,30.798,26.231,33.443,17.342,3.081,12.05,22.106,
4 (Full),04/24/2018,57,12.01,7.58,-1.09,1.362,29.877,684.5,56,12.33,8.12,1.094,1.378,30.153,690.5,711.5,23.5,3,30.416,1.884,30.748,24.388,33.053,29.54,0.986,29.389,27.825,31.765,30.015,1.599,29.966,24.388,33.053,14.127,5.378,6.433,21.294,
5 (Full),04/25/2018,64,10.32,6.89,-0.976,1.447,30.092,660.5,65,11.01,7.9,0.948,1.33,30.358,715.5,834.5,4.5,9,30.555,1.411,30.925,25.428,32.484,29.848,0.642,29.752,28.493,31.103,30.231,1.179,30.243,25.428,32.484,13.094,2.918,8.27,17.011,
6 (Full),04/26/2018,57,11.09,7.31,-1.353,1.507,29.802,632.0,56,13.52,8.78,1.345,1.579,30.084,757.0,695.0,27.0,11,30.242,1.833,30.571,24.171,33.001,29.617,0.86,29.414,26.72,31.612,29.955,1.502,29.916,24.171,33.001,11.557,5.136,4.063,18.461,
7 (Full),04/27/2018,62,10.02,7.52,-1.28,1.603,30.421,621.5,62,12.1,7.88,1.275,1.499,30.587,750.5,780.0,7.5,13,30.865,1.777,31.052,25.016,33.495,30.093,1.172,29.515,28.122,31.996,30.511,1.577,30.495,25.016,33.495,11.675,4.831,4.973,17.938,
8 (Full),04/28/2018,67,9.18,5.08,-1.22,1.518,30.854,615.0,68,11.19,7.5,1.171,1.465,30.923,761.0,1239.5,0.0,10,30.917,1.249,31.255,26.134,32.768,30.863,0.478,30.862,29.59,31.842,30.892,0.975,31.026,26.134,32.768,11.407,2.475,7.569,15.175,
9 (Full),04/29/2018,67,9.43,6.37,-1.152,1.466,30.339,631.5,67,11.07,7.81,1.165,1.356,30.27,742.0,1068.0,3.0,16,29.993,1.287,30.343,25.817,32.458,30.668,0.52,30.596,29.665,32.304,30.302,1.065,30.495,25.817,32.458,11.661,1.444,9.805,14.768,
10 (Full),04/30/2018,79,8.72,5.64,-1.524,1.714,30.761,689.0,78,8.62,5.56,1.517,1.598,30.699,672.0,1098.5,9.5,19,30.078,1.646,30.243,24.484,33.6,31.502,0.771,31.357,29.84,33.626,30.731,1.498,30.976,24.484,33.626,10.037,1.944,7.268,13.473,
--,ALL DATA,572,11.31,8.82,-1.217,1.471,30.549,6471.5,572,11.83,8.09,1.221,1.497,30.641,6769.0,9373.5,93.5,100,30.793,1.799,31.001,18.247,34.783,30.352,1.014,30.469,26.72,33.626,30.596,1.515,30.697,18.247,34.783,14.172,5.698,4.063,30.091,


Individual Bout Stats
Date,Bout Type,Start Time,End Time,Start Data Point,End Data Point,Duration (min),Egg Temp Change,Start Egg Temp,End Egg Temp,Mean Egg Temp, Egg Temp StDev,Start Air Temp, End Air Temp, Mean Air Temp, Air Temp StDev
04/21/2018,on,09:47,10:30,1,88,43.5,12.79,18.414,31.204,26.275,4.259,19.222,19.841,18.762,0.498
,off,10:31,10:38,89,103,7.0,-0.9870000000000019,31.23,30.243,30.699,0.362,19.865,20.317,20.088,0.132
,on,10:38,11:11,104,169,32.5,2.215,30.243,32.458,31.552,0.696,20.341,22.872,21.162,0.652
,off,11:11,11:16,170,179,4.5,-0.1280000000000001,32.458,32.33,32.407,0.062,22.992,23.785,23.444,0.266
,on,11:16,11:19,180,185,2.5,0.02499999999999858,32.33,32.355,32.347,0.013,23.857,24.098,23.982,0.092
,off,11:19,11:22,186,191,2.5,-0.05100000000000193,32.381,32.33,32.351,0.025,24.146,24.388,24.267,0.09
,on,11:22,11:29,192,205,6.5,0.284000000000006,32.355,32.639,32.512,0.106,24.46,25.21,24.824,0.236
,off,11:29,11:46,206,240,17.0,-2.094000000000001,32.639,30.545,31.645,0.722,25.258,26.622,25.886,0.395
,on,11:47,12:22,241,311,35.0,3.2119999999999997,30.571,33.783,32.294,0.881,26.646,28.642,28.14,0.588
,off,12:22,12:26,312,320,4.0,-0.10500000000000398,33.783,33.678,33.716,0.032,28.617,28.742,28.739,0.074
,on,12:27,12:29,321,325,2.0,0.05299999999999727,33.704,33.757,33.725,0.022,28.766,28.891,28.831,0.045
,off,12:29,12:54,326,376,25.0,-1.9919999999999973,33.757,31.765,32.943,0.678,28.916,29.34,29.501,0.229
,on,12:55,13:23,377,433,28.0,2.1489999999999974,31.791,33.94,33.123,0.61,29.315,28.866,29.121,0.182
,off,13:23,13:38,434,463,14.5,-1.4040000000000035,33.966,32.562,33.263,0.457,28.891,28.941,28.92,0.022
,on,13:38,14:02,464,512,24.0,1.4579999999999984,32.587,34.045,33.502,0.488,28.941,29.09,28.985,0.043
,off,14:03,14:10,513,527,7.0,-0.05300000000000438,34.045,33.992,34.013,0.023,29.09,29.19,29.128,0.031
,on,14:10,14:17,528,541,6.5,0.23700000000000188,33.992,34.229,34.105,0.094,29.19,29.14,29.165,0.037
,off,14:17,14:21,542,549,3.5,-0.10500000000000398,34.255,34.15,34.189,0.04,29.14,29.215,29.156,0.038
,on,14:21,14:23,550,554,2.0,0.05299999999999727,34.176,34.229,34.202,0.027,29.215,29.165,29.19,0.018
,off,14:24,14:47,555,602,23.5,-2.155999999999999,34.229,32.073,33.248,0.679,29.165,29.49,29.369,0.09
,on,14:48,15:19,603,666,31.5,2.6850000000000023,32.098,34.783,33.877,0.829,29.49,29.565,29.472,0.068
,off,15:20,15:45,667,718,25.5,-2.041000000000004,34.783,32.742,33.908,0.706,29.59,29.69,29.58,0.055
,on,15:46,15:59,719,745,13.0,1.3030000000000044,32.742,34.045,33.458,0.45,29.715,29.84,29.696,0.048
,off,15:59,16:05,746,758,6.0,-0.13100000000000023,34.045,33.914,33.986,0.053,29.865,29.916,29.892,0.016
,on,16:06,16:16,759,780,10.5,0.472999999999999,33.94,34.413,34.17,0.15,29.916,29.79,29.865,0.058
,off,16:17,16:40,781,827,23.0,-1.4889999999999972,34.413,32.924,33.746,0.452,29.765,29.84,29.886,0.047
,on,16:40,17:03,828,873,22.5,1.3590000000000018,32.949,34.308,33.633,0.382,29.865,29.765,29.942,0.106
,off,17:03,17:08,874,883,4.5,-0.15800000000000125,34.308,34.15,34.242,0.062,29.79,29.89,29.88,0.046
,on,17:08,17:13,884,893,4.5,0.15800000000000125,34.176,34.334,34.25,0.062,29.916,29.865,29.89,0.024
,off,17:13,17:45,894,957,31.5,-2.8750000000000036,34.334,31.459,32.873,0.934,29.84,29.24,29.538,0.178
,on,17:45,18:04,958,996,19.0,1.8290000000000006,31.484,33.313,32.632,0.591,29.24,29.215,29.259,0.03
,off,18:05,18:24,997,1035,19.0,-1.2150000000000034,33.313,32.098,32.774,0.407,29.24,28.791,29.022,0.162
,on,18:24,18:32,1036,1051,7.5,0.5930000000000035,32.098,32.691,32.439,0.218,28.816,28.841,28.843,0.031
,off,18:32,18:37,1052,1061,4.5,-0.1039999999999992,32.717,32.613,32.665,0.037,28.816,28.717,28.774,0.037
,on,18:37,18:46,1062,1079,8.5,0.4660000000000011,32.613,33.079,32.866,0.166,28.692,28.593,28.605,0.04
,off,18:46,19:11,1080,1130,25.0,-1.4420000000000002,33.079,31.637,32.562,0.466,28.593,28.097,28.363,0.164
,on,19:12,19:32,1131,1172,20.5,1.9629999999999974,31.663,33.626,32.81,0.648,28.072,27.653,27.858,0.128
,off,19:33,19:53,1173,1213,20.0,-2.115999999999996,33.626,31.51,32.612,0.738,27.653,26.916,27.249,0.219
,on,19:53,20:05,1214,1237,11.5,1.102999999999998,31.51,32.613,32.116,0.376,26.891,26.5,26.669,0.122
,off,20:05,20:17,1238,1261,11.5,-0.5399999999999991,32.613,32.073,32.352,0.216,26.475,26.109,26.326,0.097
,on,20:17,20:38,1262,1304,21.0,0.5660000000000025,32.073,32.639,32.406,0.187,26.085,25.065,25.561,0.299
,off,20:39,21:28,1305,1403,49.0,-1.4600000000000044,32.639,31.179,31.998,0.481,25.04,22.489,23.806,0.771
,on,21:28,21:31,1404,1410,3.0,0.07600000000000051,31.179,31.255,31.23,0.029,22.465,22.298,22.383,0.062
,off,21:32,22:07,1411,1481,35.0,-0.759999999999998,31.255,30.495,30.85,0.305,22.274,20.65,21.465,0.478
,on,22:07,22:13,1482,1493,5.5,0.1509999999999998,30.495,30.646,30.577,0.063,20.627,20.341,20.494,0.094
,off,22:13,22:17,1494,1502,4.0,-0.02500000000000213,30.646,30.621,30.635,0.013,20.317,20.198,20.261,0.043
,on,22:18,22:23,1503,1514,5.5,0.12600000000000122,30.596,30.722,30.674,0.045,20.174,19.984,20.077,0.066
,off,22:24,22:54,1515,1576,30.5,-0.6310000000000002,30.722,30.091,30.35,0.222,19.96,18.866,19.388,0.324
,on,22:55,23:02,1577,1591,7.0,0.20199999999999818,30.091,30.293,30.179,0.062,18.842,18.604,18.726,0.077
,off,23:02,23:44,1592,1675,41.5,-0.32700000000000173,30.268,29.941,30.102,0.108,18.604,17.439,17.995,0.33
,on,23:44,23:48,1676,1683,3.5,0.05000000000000071,29.941,29.991,29.966,0.019,17.439,17.368,17.403,0.025
,off,23:48,00:16,1684,1740,28.0,-0.2259999999999991,29.991,29.765,29.905,0.065,17.368,16.701,17.029,0.192
04/22/2018,on,00:17,00:21,1741,1750,4.5,0.10000000000000142,29.74,29.84,29.805,0.034,16.701,16.558,16.62,0.048
,off,00:22,00:27,1751,1761,5.0,0.02499999999999858,29.84,29.865,29.845,0.01,16.558,16.415,16.487,0.043
,on,00:27,00:31,1762,1769,3.5,0.10100000000000264,29.865,29.966,29.919,0.049,16.415,16.32,16.377,0.033
,off,00:31,01:07,1770,1841,35.5,-0.527000000000001,29.966,29.439,29.67,0.171,16.32,15.485,15.882,0.244
,on,01:07,01:13,1842,1854,6.0,0.2010000000000005,29.439,29.64,29.555,0.069,15.461,15.366,15.428,0.033
,off,01:14,02:17,1855,1981,63.0,-1.2710000000000008,29.64,28.369,29.125,0.392,15.366,14.433,14.864,0.271
,on,02:17,02:31,1982,2009,13.5,0.6709999999999994,28.369,29.04,28.786,0.233,14.433,14.29,14.366,0.039
,off,02:31,02:44,2010,2035,12.5,-0.24899999999999878,29.04,28.791,28.96,0.093,14.29,14.17,14.225,0.038
,on,02:44,02:56,2036,2060,12.0,0.19900000000000162,28.816,29.015,28.915,0.067,14.17,14.026,14.096,0.039
,off,02:57,03:02,2061,2071,5.0,-0.1739999999999995,29.015,28.841,28.929,0.064,14.026,13.978,14.013,0.017
,on,03:02,03:23,2072,2113,20.5,0.7489999999999988,28.841,29.59,29.203,0.244,14.002,13.834,13.905,0.048
,off,03:23,03:26,2114,2119,2.5,0.0,29.59,29.59,29.59,0.0,13.81,13.786,13.806,0.01
,on,03:26,03:29,2120,2126,3.0,0.07499999999999929,29.59,29.665,29.626,0.032,13.786,13.786,13.786,0.0
,off,03:30,04:17,2127,2221,47.0,-0.5500000000000007,29.69,29.14,29.354,0.154,13.786,13.497,13.603,0.087
,on,04:17,04:20,2222,2227,2.5,0.02499999999999858,29.14,29.165,29.157,0.013,13.497,13.497,13.497,0.0
,off,04:20,04:33,2228,2254,13.0,-0.20000000000000284,29.19,28.99,29.058,0.066,13.497,13.522,13.507,0.013
,on,04:34,04:51,2255,2289,17.0,0.4740000000000002,28.99,29.464,29.236,0.128,13.522,13.618,13.576,0.019
,off,04:51,04:54,2290,2296,3.0,-0.02499999999999858,29.464,29.439,29.443,0.017,13.642,13.642,13.642,0.0
,on,04:55,04:59,2297,2305,4.0,0.05099999999999838,29.439,29.49,29.464,0.022,13.642,13.666,13.658,0.012
,off,04:59,05:04,2306,2316,5.0,0.0,29.515,29.515,29.51,0.01,13.666,13.714,13.699,0.016
,on,05:05,05:17,2317,2342,12.5,0.22499999999999787,29.515,29.74,29.608,0.065,13.714,13.834,13.768,0.037
,off,05:18,05:50,2343,2408,32.5,-0.5249999999999986,29.74,29.215,29.487,0.149,13.834,14.266,14.029,0.116
,on,05:51,06:03,2409,2433,12.0,0.5500000000000007,29.24,29.79,29.488,0.179,14.266,14.314,14.286,0.034
,off,06:03,06:08,2434,2443,4.5,-0.09999999999999787,29.79,29.69,29.723,0.041,14.314,14.433,14.371,0.038
,on,06:08,06:28,2444,2483,19.5,0.4519999999999982,29.69,30.142,29.935,0.126,14.457,14.625,14.531,0.055
,off,06:28,06:47,2484,2522,19.0,-0.3019999999999996,30.142,29.84,29.955,0.109,14.625,14.84,14.718,0.069
,on,06:48,06:54,2523,2536,6.5,0.12600000000000122,29.84,29.966,29.907,0.047,14.84,14.864,14.845,0.01
,off,06:55,06:58,2537,2544,3.5,0.0,29.966,29.966,29.95,0.013,14.888,14.888,14.888,0.0
,on,06:59,07:11,2545,2569,12.0,0.4529999999999994,29.941,30.394,30.137,0.137,14.888,14.96,14.915,0.027
,off,07:11,07:20,2570,2587,8.5,-1.777000000000001,30.419,28.642,29.472,0.664,14.984,15.079,15.086,0.029
,on,07:20,07:33,2588,2614,13.0,1.5500000000000007,28.642,30.192,29.466,0.535,15.079,15.127,15.096,0.017
,off,07:34,07:42,2615,2632,8.5,-1.9719999999999978,30.217,28.245,29.218,0.684,15.127,15.27,15.257,0.047
,on,07:43,08:04,2633,2676,21.5,2.1239999999999988,28.245,30.369,29.496,0.642,15.27,15.366,15.321,0.037
,off,08:05,08:16,2677,2699,11.0,-2.84,30.394,27.554,28.973,0.976,15.366,15.533,15.524,0.057
,on,08:16,08:39,2700,2746,23.0,3.0420000000000016,27.554,30.596,29.394,0.995,15.509,15.724,15.594,0.07
,off,08:40,09:09,2747,2806,29.5,-2.8939999999999984,30.596,27.702,29.724,0.852,15.724,16.201,15.936,0.154
,on,09:10,09:57,2807,2902,47.5,3.2989999999999995,27.702,31.001,29.864,0.89,16.201,16.939,16.569,0.203
,off,09:58,10:13,2903,2934,15.5,-3.2989999999999995,31.001,27.702,29.447,1.133,16.963,17.225,17.095,0.074
,on,10:14,10:47,2935,3001,33.0,3.6310000000000002,27.751,31.382,30.331,1.119,17.225,18.509,17.857,0.392
,off,10:47,11:07,3002,3041,19.5,-2.6400000000000006,31.382,28.742,30.264,0.972,18.557,19.888,19.154,0.368
,on,11:07,11:31,3042,3089,23.5,3.487000000000002,28.766,32.253,30.582,1.193,19.96,22.178,21.137,0.621
,off,11:31,11:35,3090,3097,3.5,-0.10300000000000153,32.278,32.175,32.214,0.044,22.226,22.417,22.324,0.069
,on,11:35,11:43,3098,3113,7.5,0.28300000000000125,32.175,32.458,32.301,0.088,22.465,23.064,22.745,0.199
,off,11:43,12:02,3114,3152,19.0,-2.1910000000000025,32.484,30.293,31.594,0.726,23.112,24.847,24.046,0.503
,on,12:03,12:14,3153,3175,11.0,1.6509999999999998,30.293,31.944,31.194,0.596,24.871,25.453,25.226,0.175
,off,12:14,12:18,3176,3183,3.5,-0.20500000000000185,31.919,31.714,31.832,0.08,25.453,25.598,25.528,0.044
,on,12:18,12:35,3184,3217,16.5,1.4170000000000016,31.714,33.131,32.594,0.48,25.598,26.182,25.885,0.193
,off,12:35,12:50,3218,3247,14.5,-0.5179999999999936,33.105,32.587,32.899,0.178,26.207,26.549,26.433,0.109
,on,12:50,13:04,3248,3276,14.0,0.8819999999999979,32.587,33.469,32.993,0.313,26.524,26.524,26.492,0.023
,off,13:05,13:20,3277,3307,15.0,-1.6780000000000008,33.469,31.791,32.657,0.584,26.549,26.573,26.572,0.024
,on,13:20,13:36,3308,3339,15.5,1.626999999999999,31.816,33.443,32.626,0.593,26.598,26.769,26.676,0.041
,off,13:36,14:05,3340,3397,28.5,-3.1999999999999993,33.443,30.243,31.846,1.026,26.769,27.431,27.117,0.19
,on,14:05,14:37,3398,3461,31.5,3.987000000000002,30.268,34.255,32.98,1.328,27.456,27.727,27.615,0.08
,off,14:37,14:49,3462,3485,11.5,-0.9939999999999998,34.255,33.261,33.77,0.355,27.727,27.579,27.638,0.068
,on,14:49,15:08,3486,3524,19.0,0.44299999999999784,33.287,33.73,33.494,0.128,27.579,27.604,27.558,0.018
,off,15:09,15:26,3525,3559,17.0,-1.8109999999999964,33.73,31.919,32.877,0.61,27.628,27.456,27.554,0.074
,on,15:26,15:38,3560,3583,11.5,1.2119999999999997,31.919,33.131,32.535,0.444,27.456,27.456,27.428,0.021
,off,15:38,15:49,3584,3605,10.5,-0.8269999999999982,33.131,32.304,32.742,0.3,27.456,27.284,27.365,0.047
,on,15:49,15:59,3606,3625,9.5,0.9570000000000007,32.304,33.261,32.765,0.339,27.284,27.161,27.226,0.061
,off,15:59,16:11,3626,3650,12.0,-0.6219999999999999,33.235,32.613,32.944,0.185,27.21,27.087,27.258,0.115
,on,16:12,16:19,3651,3665,7.0,0.3359999999999985,32.639,32.975,32.806,0.11,27.063,26.867,26.97,0.074
,off,16:19,16:26,3666,3680,7.0,-0.6199999999999974,33.001,32.381,32.705,0.233,26.867,26.622,26.753,0.1
,on,16:27,16:36,3681,3699,9.0,0.9580000000000055,32.407,33.365,32.902,0.32,26.622,26.573,26.563,0.04
,off,16:36,16:41,3700,3709,4.5,-0.2080000000000055,33.365,33.157,33.245,0.085,26.549,26.573,26.585,0.033
,on,16:41,16:49,3710,3726,8.0,0.33800000000000097,33.157,33.495,33.336,0.119,26.549,26.426,26.474,0.039
,off,16:50,17:36,3727,3820,46.5,-3.5549999999999997,33.521,29.966,32.419,1.094,26.402,25.695,26.007,0.23
,on,17:37,17:59,3821,3865,22.0,3.7659999999999982,29.991,33.757,32.246,1.291,25.695,25.501,25.628,0.076
,off,17:59,18:19,3866,3906,20.0,-2.831999999999997,33.757,30.925,32.517,0.994,25.525,25.258,25.394,0.099
,on,18:20,18:37,3907,3942,17.5,2.6239999999999988,30.95,33.574,32.479,0.907,25.258,25.113,25.176,0.041
,off,18:38,18:49,3943,3965,11.0,-1.5009999999999977,33.574,32.073,32.846,0.507,25.137,24.895,25.025,0.088
,on,18:49,18:56,3966,3980,7.0,0.7209999999999965,32.073,32.794,32.435,0.26,24.871,24.653,24.737,0.077
,off,18:57,19:09,3981,4005,12.0,-1.9699999999999953,32.794,30.824,31.897,0.638,24.653,24.267,24.474,0.158
,on,19:09,19:25,4006,4038,16.0,2.0240000000000045,30.874,32.898,32.008,0.673,24.267,23.857,24.087,0.148
,off,19:26,19:41,4039,4069,15.0,-1.6430000000000007,32.924,31.281,32.344,0.617,23.833,23.304,23.616,0.145
,on,19:41,20:00,4070,4108,19.0,1.6940000000000026,31.281,32.975,32.366,0.573,23.28,22.489,22.941,0.253
,off,20:01,20:46,4109,4200,45.5,-1.9990000000000023,32.975,30.976,31.959,0.501,22.465,20.746,21.58,0.523
,on,20:47,21:13,4201,4253,26.0,0.9170000000000016,30.976,31.893,31.534,0.271,20.722,19.841,20.281,0.263
,off,21:13,21:39,4254,4306,26.0,-0.5619999999999976,31.868,31.306,31.673,0.208,19.841,19.103,19.453,0.212
,on,21:40,21:50,4307,4328,10.5,0.1529999999999987,31.306,31.459,31.392,0.05,19.08,18.842,18.959,0.07
,off,21:51,21:57,4329,4341,6.0,-0.05099999999999838,31.459,31.408,31.437,0.025,18.842,18.699,18.763,0.043
,on,21:57,22:01,4342,4349,3.5,0.05099999999999838,31.408,31.459,31.433,0.019,18.675,18.58,18.631,0.035
,off,22:01,22:04,4350,4355,2.5,-0.0259999999999998,31.459,31.433,31.442,0.013,18.58,18.533,18.549,0.019
,on,22:04,22:12,4356,4372,8.0,0.10200000000000031,31.433,31.535,31.498,0.035,18.509,18.366,18.433,0.051
,off,22:13,22:58,4373,4463,45.0,-0.7630000000000017,31.561,30.798,31.105,0.227,18.343,17.677,18.002,0.198
,on,22:58,23:09,4464,4486,11.0,0.12599999999999767,30.824,30.95,30.89,0.039,17.653,17.486,17.577,0.054
,off,23:10,23:37,4487,4542,27.5,-0.1769999999999996,30.95,30.773,30.84,0.07,17.486,16.963,17.242,0.156
,on,23:38,23:42,4543,4551,4.0,0.10099999999999909,30.773,30.874,30.832,0.042,16.963,16.892,16.929,0.027
,off,23:42,23:58,4552,4584,16.0,-0.2029999999999994,30.9,30.697,30.791,0.056,16.868,16.63,16.75,0.078
,on,23:59,00:06,4585,4600,7.5,0.15200000000000102,30.697,30.849,30.792,0.045,16.606,16.463,16.54,0.045
04/23/2018,off,00:07,00:19,4601,4626,12.5,-0.4299999999999997,30.849,30.419,30.62,0.141,16.463,16.249,16.341,0.067
,on,00:20,00:35,4627,4658,15.5,0.3290000000000006,30.419,30.748,30.65,0.086,16.249,16.01,16.114,0.071
,off,00:36,01:03,4659,4714,27.5,-0.22800000000000153,30.748,30.52,30.614,0.098,15.986,15.796,15.893,0.058
,on,01:04,01:13,4715,4733,9.0,0.2779999999999987,30.52,30.798,30.668,0.091,15.796,15.7,15.742,0.025
,off,01:13,01:23,4734,4754,10.0,-0.2789999999999999,30.824,30.545,30.63,0.079,15.7,15.676,15.711,0.021
,on,01:24,01:38,4755,4784,14.5,0.2789999999999999,30.545,30.824,30.688,0.081,15.652,15.485,15.572,0.049
,off,01:39,01:47,4785,4801,8.0,-0.07600000000000051,30.824,30.748,30.788,0.024,15.485,15.414,15.436,0.024
,on,01:47,01:52,4802,4811,4.5,0.07600000000000051,30.748,30.824,30.796,0.03,15.414,15.366,15.38,0.02
,off,01:52,03:04,4812,4956,72.0,-0.6070000000000029,30.824,30.217,30.599,0.234,15.342,15.031,15.182,0.083
,on,03:05,03:26,4957,5000,21.5,0.6070000000000029,30.217,30.824,30.473,0.199,15.055,14.96,15.019,0.03
,off,03:27,03:34,5001,5015,7.0,-0.3290000000000006,30.849,30.52,30.648,0.105,14.984,14.96,14.97,0.012
,on,03:34,03:47,5016,5041,12.5,0.2779999999999987,30.52,30.798,30.691,0.08,14.96,14.888,14.92,0.021
,off,03:47,03:56,5042,5060,9.0,-0.12599999999999767,30.798,30.672,30.757,0.062,14.888,14.888,14.897,0.012
,on,03:57,04:03,5061,5073,6.0,0.12599999999999767,30.672,30.798,30.728,0.04,14.888,14.864,14.879,0.012
,off,04:03,04:18,5074,5103,14.5,-0.10099999999999909,30.798,30.697,30.71,0.029,14.864,14.864,14.853,0.014
,on,04:18,04:45,5104,5158,27.0,0.7109999999999985,30.722,31.433,31.089,0.235,14.864,14.768,14.809,0.027
,off,04:46,05:31,5159,5249,45.0,-0.8369999999999997,31.433,30.596,30.912,0.215,14.768,14.649,14.718,0.034
,on,05:31,05:38,5250,5263,6.5,0.12600000000000122,30.596,30.722,30.663,0.043,14.649,14.625,14.637,0.012
,off,05:38,05:54,5264,5295,15.5,-0.37900000000000134,30.722,30.343,30.492,0.112,14.625,14.625,14.636,0.017
,on,05:54,06:19,5296,5345,24.5,0.5309999999999988,30.343,30.874,30.677,0.159,14.649,14.601,14.613,0.015
,off,06:19,06:26,5346,5359,6.5,0.0,30.874,30.874,30.878,0.014,14.601,14.601,14.601,0.0
,on,06:26,06:33,5360,5373,6.5,0.07600000000000051,30.874,30.95,30.909,0.026,14.601,14.577,14.586,0.012
,off,06:33,06:35,5374,5378,2.0,-0.02499999999999858,30.95,30.925,30.935,0.014,14.577,14.577,14.582,0.011
,on,06:36,06:43,5379,5393,7.0,0.10200000000000031,30.95,31.052,30.986,0.033,14.577,14.553,14.561,0.012
,off,06:43,06:51,5394,5410,8.0,-0.3550000000000004,31.052,30.697,30.9,0.13,14.529,14.505,14.513,0.012
,on,06:52,06:59,5411,5425,7.0,0.17799999999999727,30.722,30.9,30.832,0.062,14.505,14.433,14.463,0.019
,off,06:59,07:14,5426,5456,15.0,-0.07599999999999696,30.9,30.824,30.854,0.024,14.433,14.361,14.39,0.039
,on,07:15,07:24,5457,5475,9.0,0.3039999999999985,30.824,31.128,30.976,0.091,14.337,14.29,14.305,0.018
,off,07:24,07:38,5476,5504,14.0,-4.921999999999997,31.153,26.231,28.664,1.602,14.29,14.29,14.381,0.053
,on,07:39,07:49,5505,5526,10.5,3.108999999999998,26.28,29.389,27.689,1.045,14.266,14.218,14.205,0.044
,off,07:50,07:58,5527,5543,8.0,-2.2270000000000003,29.265,27.038,28.076,0.775,14.218,14.146,14.215,0.03
,on,07:58,08:25,5544,5598,27.0,3.8640000000000008,27.112,30.976,29.555,1.301,14.122,13.978,14.022,0.052
,off,08:26,08:31,5599,5609,5.0,-0.05000000000000071,30.95,30.9,30.923,0.024,13.978,14.002,13.987,0.012
,on,08:31,08:37,5610,5622,6.0,0.2530000000000001,30.9,31.153,31.013,0.099,14.002,14.026,14.037,0.025
,off,08:38,08:47,5623,5642,9.5,-2.7590000000000003,31.153,28.394,29.791,0.99,14.026,14.146,14.145,0.046
,on,08:48,09:04,5643,5676,16.5,2.1260000000000012,28.394,30.52,29.551,0.699,14.146,14.337,14.207,0.071
,off,09:05,09:18,5677,5704,13.5,-4.120000000000001,30.571,26.451,28.56,1.374,14.337,14.649,14.546,0.069
,on,09:19,09:37,5705,5742,18.5,4.221999999999998,26.475,30.697,28.983,1.404,14.649,15.127,14.82,0.121
,off,09:38,09:42,5743,5752,4.5,-0.6310000000000002,30.672,30.041,30.318,0.246,15.151,15.199,15.197,0.024
,on,09:43,09:56,5753,5779,13.0,1.3670000000000009,30.041,31.408,30.796,0.461,15.223,15.796,15.46,0.195
,off,09:56,10:10,5780,5808,14.0,-4.198,31.408,27.21,29.382,1.401,15.819,16.201,16.036,0.094
,on,10:11,10:25,5809,5837,14.0,3.6140000000000008,27.21,30.824,29.235,1.212,16.225,16.392,16.315,0.059
,off,10:25,10:28,5838,5844,3.0,-0.05099999999999838,30.773,30.722,30.729,0.024,16.392,16.415,16.405,0.012
,on,10:29,10:51,5845,5889,22.0,1.2479999999999976,30.722,31.97,31.38,0.357,16.415,16.677,16.617,0.071
,off,10:51,10:57,5890,5902,6.0,-0.20400000000000063,31.944,31.74,31.842,0.066,16.725,16.844,16.791,0.039
,on,10:58,11:05,5903,5918,7.5,0.1789999999999985,31.765,31.944,31.882,0.06,16.868,17.249,17.021,0.124
,off,11:06,11:13,5919,5934,7.5,-1.323999999999998,31.97,30.646,31.267,0.513,17.296,17.962,17.662,0.212
,on,11:14,11:35,5935,5977,21.0,1.6829999999999963,30.672,32.355,31.641,0.533,17.986,19.175,18.559,0.364
