CanaryCtrlB68-1.csv
Day Number,Date,Off-bout Count (DN),Mean Off Duration (DN),Off Dur StDev (DN),Mean Off Temp Drop (DN),Off Drop StDev (DN),Mean Off-Bout Temp (DN),Off-Bout Time Sum (DN),On-bout Count (DN),Mean On Duration (DN),On Dur StDev (DN),Mean On Temp Rise (DN),On Rise StDev (DN),Mean On-Bout Temp (DN),On-Bout Time Sum (DN),Time above 30 (minutes),Time below 26 (minutes),Vertices Dropped (DN),Mean Daytime Egg Temp,Day Egg Temp StDev,Median Daytime Egg Temp,Min Daytime Egg Temp,Max Daytime Egg Temp,Mean Nighttime Egg Temp,Night Egg Temp StDev,Median Nighttime Egg Temp,Min Nighttime Egg Temp,Max Nighttime Egg Temp,Mean Egg Temp (DN),Egg Temp StDev (DN),Median Egg Temp (DN),Min Egg Temp (DN),Max Egg Temp (DN),
1 (Full),09/22/2017,60,12.25,13.06,-1.239,1.352,28.253,735.0,67,9.33,7.11,1.048,1.347,28.511,625.0,30.5,113.0,13,27.843,1.873,28.394,22.561,31.459,29.003,0.473,29.04,26.965,30.167,28.375,1.528,28.891,22.561,31.459,
2 (Full),09/23/2017,79,8.42,8.36,-0.931,0.768,28.919,665.5,85,7.88,4.66,0.813,0.818,29.133,669.5,179.5,0.0,13,29.265,0.759,29.24,26.72,31.535,28.739,0.748,28.593,27.259,30.646,29.024,0.798,29.04,26.72,31.535,
3 (Full),09/24/2017,72,9.88,11.71,-0.915,0.861,28.603,711.0,81,7.91,4.82,0.764,0.761,28.746,641.0,16.0,3.5,17,28.674,0.622,28.667,26.475,30.419,28.673,0.659,28.617,25.647,30.394,28.673,0.639,28.642,25.647,30.419,
4 (Full),09/25/2017,79,8.63,9.11,-0.845,0.776,29.149,681.5,81,8.23,5.82,0.785,0.765,29.185,667.0,209.5,0.0,11,28.793,0.6,28.841,26.426,30.243,29.6,0.679,29.426,27.21,31.052,29.163,0.754,29.115,26.426,31.052,
5 (Full),09/26/2017,79,9.05,9.43,-0.918,0.926,28.646,715.0,84,7.46,4.5,0.782,0.86,28.637,626.5,204.5,4.5,10,28.362,0.747,28.345,25.404,30.824,28.977,1.125,28.617,26.598,30.95,28.644,0.988,28.444,25.404,30.95,
6 (Full),09/27/2017,77,9.52,11.24,-0.978,0.859,28.119,733.0,89,6.83,4.93,0.784,0.955,28.296,608.0,31.0,1.5,22,28.299,0.781,28.27,25.841,30.318,28.081,0.697,28.072,26.109,30.95,28.199,0.751,28.147,25.841,30.95,
7 (Full),09/28/2017,78,9.36,8.64,-0.996,0.909,28.018,730.0,87,6.74,3.8,0.814,0.83,28.115,586.5,0.0,14.0,17,27.965,0.737,28.097,25.21,29.54,28.183,0.357,28.171,27.063,29.09,28.065,0.604,28.147,25.21,29.54,
8 (Full),09/29/2017,78,9.73,10.66,-1.08,0.867,27.684,759.0,86,6.98,4.39,0.893,0.751,27.74,600.5,0.0,10.0,19,27.621,0.679,27.628,25.234,29.414,27.822,0.406,27.85,26.304,29.29,27.713,0.579,27.776,25.234,29.414,
9 (Full),09/30/2017,86,7.62,7.23,-1.289,1.121,28.138,655.5,101,6.33,3.86,1.054,1.105,28.333,639.5,84.5,17.5,20,28.062,0.903,28.097,24.798,30.444,28.407,1.111,27.998,26.867,30.293,28.22,1.018,28.048,24.798,30.444,
10 (Partial),10/01/2017,53,8.23,8.8,-1.035,1.284,26.781,436.0,54,7.17,4.8,0.95,1.13,27.0,387.0,0.0,98.5,10,26.492,1.427,26.842,20.984,28.369,27.347,0.62,27.518,25.89,28.468,26.895,1.2,27.063,20.984,28.468,
--,ALL DATA,741,9.21,9.88,-1.02,0.976,28.277,6821.5,815,7.42,4.92,0.866,0.939,28.438,6050.5,755.5,262.5,152,28.205,1.167,28.32,20.984,31.535,28.526,0.942,28.419,25.647,31.052,28.352,1.082,28.369,20.984,31.535,


Individual Bout Stats
Date,Bout Type,Start Time,End Time,Start Data Point,End Data Point,Duration (min),Egg Temp Change,Start Egg Temp,End Egg Temp,Mean Egg Temp,
,off,17:17,17:28,12318,12339,10.5,-2.628999999999998,28.543,25.914,27.191,
,on,17:28,17:43,12340,12369,14.5,2.3309999999999995,25.914,28.245,27.368,
,off,17:43,17:52,12370,12388,9.0,-2.1849999999999987,28.27,26.085,27.165,
,on,17:53,18:12,12389,12428,19.5,2.756999999999998,26.134,28.891,27.726,
,off,18:13,18:20,12429,12444,7.5,-2.1960000000000015,28.916,26.72,27.684,
,on,18:21,18:37,12445,12477,16.0,2.097999999999999,26.793,28.891,27.956,
,off,18:37,18:43,12478,12490,6.0,-1.7049999999999983,28.891,27.186,27.95,
,on,18:44,18:58,12491,12520,14.5,1.782,27.308,29.09,28.519,
,on,19:00,19:02,12524,12527,1.5,0.07499999999999929,29.065,29.14,29.109,
,off,19:02,19:12,12528,12548,10.0,-1.3390000000000022,29.14,27.801,28.713,
,on,19:13,19:20,12549,12564,7.5,1.2899999999999991,27.85,29.14,28.7,
,off,19:21,19:23,12565,12569,2.0,0.0,29.14,29.14,29.13,
,on,19:23,19:26,12570,12575,2.5,0.02499999999999858,29.14,29.165,29.165,
,off,19:26,19:37,12576,12597,10.5,-1.9800000000000004,29.19,27.21,28.517,
,on,19:37,19:47,12598,12617,9.5,1.6819999999999986,27.259,28.941,28.315,
,off,19:47,19:50,12618,12623,2.5,-0.5219999999999985,28.99,28.468,28.746,
,on,19:50,19:55,12624,12633,4.5,0.7719999999999985,28.518,29.29,28.953,
,off,19:55,19:58,12634,12640,3.0,-0.9700000000000024,29.315,28.345,28.771,
,on,19:59,20:04,12641,12651,5.0,0.9969999999999999,28.493,29.49,29.104,
,off,20:04,20:09,12652,12662,5.0,-1.3929999999999971,29.49,28.097,28.668,
,off,20:11,20:14,12666,12672,3.0,-0.7149999999999999,28.196,27.481,27.9,
,on,20:15,20:18,12673,12679,3.0,1.1880000000000024,27.554,28.742,28.161,
,off,20:18,20:27,12680,12697,8.5,-1.6769999999999996,28.642,26.965,27.877,
,on,20:27,20:41,12698,12725,13.5,2.1259999999999977,26.989,29.115,28.248,
,off,20:41,21:38,12726,12839,56.5,-0.125,29.115,28.99,29.149,
,on,21:38,21:48,12840,12860,10.0,0.375,28.99,29.365,29.207,
,off,21:49,22:12,12861,12907,23.0,-0.3249999999999993,29.365,29.04,29.193,
,on,22:12,22:26,12908,12935,13.5,0.1999999999999993,29.04,29.24,29.141,
,on,22:27,22:42,12937,12968,15.5,0.40000000000000213,29.24,29.64,29.452,
,off,22:43,22:51,12969,12986,8.5,0.0,29.64,29.64,29.627,
,on,22:52,22:55,12987,12993,3.0,0.05000000000000071,29.64,29.69,29.669,
,off,22:55,23:02,12994,13007,6.5,-0.05000000000000071,29.69,29.64,29.651,
,on,23:02,23:08,13008,13020,6.0,0.09999999999999787,29.64,29.74,29.696,
,off,23:09,23:58,13021,13119,49.0,-1.9889999999999972,29.74,27.751,28.587,
,on,23:58,00:06,13120,13135,7.5,0.1980000000000004,27.751,27.949,27.875,
09/23/2017,on,00:08,00:22,13139,13168,14.5,0.6439999999999984,27.949,28.593,28.243,
,off,00:23,00:26,13169,13175,3.0,-0.02499999999999858,28.593,28.568,28.586,
,on,00:26,00:46,13176,13216,20.0,0.796999999999997,28.568,29.365,29.035,
,off,00:47,00:55,13217,13234,8.5,-0.22499999999999787,29.365,29.14,29.229,
,on,00:56,01:04,13235,13251,8.0,0.2740000000000009,29.14,29.414,29.263,
,off,01:04,01:09,13252,13262,5.0,-0.3240000000000016,29.414,29.09,29.274,
,on,01:10,01:21,13263,13286,11.5,0.6750000000000007,29.09,29.765,29.563,
,off,01:22,02:06,13287,13376,44.5,-0.9239999999999995,29.765,28.841,29.279,
,on,02:07,02:12,13377,13388,5.5,0.12399999999999878,28.841,28.965,28.912,
,off,02:13,02:16,13389,13395,3.0,-0.0990000000000002,28.965,28.866,28.923,
,on,02:16,02:27,13396,13417,10.5,0.4740000000000002,28.866,29.34,29.169,
,off,02:27,02:31,13418,13425,3.5,-0.125,29.365,29.24,29.303,
